iter	Passed	Remaining
0	36	36467
1	40	19968
2	76	25534
3	116	28889
4	154	30716
5	194	32229
6	231	32840
7	269	33433
8	306	33774
9	344	34060
10	381	34303
11	419	34535
12	457	34705
13	495	34875
14	537	35308
15	579	35668
16	621	35913
17	664	36249
18	707	36511
19	747	36617
20	786	36661
21	824	36653
22	864	36735
23	903	36749
24	940	36689
25	976	36595
26	1013	36521
27	1049	36422
28	1085	36357
29	1124	36347
30	1165	36435
31	1202	36378
32	1240	36356
33	1277	36302
34	1289	35556
35	1326	35524
36	1366	35563
37	1406	35606
38	1450	35731
39	1491	35787
40	1528	35759
41	1566	35740
42	1604	35707
43	1642	35684
44	1679	35635
45	1716	35594
46	1752	35530
47	1788	35474
48	1825	35424
49	1861	35371
50	1898	35329
51	1937	35321
52	1976	35310
53	2015	35311
54	2056	35330
55	2094	35302
56	2134	35316
57	2174	35315
58	2215	35333
59	2252	35282
60	2291	35270
61	2328	35230
62	2367	35213
63	2407	35208
64	2448	35227
65	2490	35237
66	2530	35237
67	2570	35229
68	2607	35180
69	2649	35196
70	2687	35167
71	2724	35116
72	2763	35096
73	2801	35059
74	2838	35007
75	2874	34943
76	2912	34909
77	2949	34861
78	2987	34825
79	3024	34785
80	3063	34751
81	3100	34709
82	3137	34669
83	3178	34659
84	3217	34631
85	3260	34655
86	3300	34640
87	3343	34649
88	3385	34650
89	3423	34610
90	3462	34582
91	3499	34542
92	3538	34513
93	3578	34491
94	3618	34472
95	3657	34437
96	3701	34458
97	3755	34561
98	3805	34631
99	3850	34655
100	3894	34668
101	3936	34654
102	3978	34650
103	4019	34625
104	4061	34618
105	4100	34581
106	4139	34550
107	4161	34369
108	4199	34330
109	4237	34288
110	4276	34246
111	4313	34202
112	4351	34160
113	4388	34106
114	4426	34067
115	4463	34017
116	4502	33978
117	4539	33933
118	4583	33933
119	4632	33971
120	4678	33988
121	4724	34002
122	4765	33978
123	4805	33947
124	4844	33911
125	4882	33868
126	4919	33817
127	4959	33785
128	4996	33738
129	5033	33686
130	5072	33649
131	5109	33597
132	5146	33550
133	5184	33505
134	5224	33473
135	5263	33441
136	5304	33413
137	5344	33386
138	5383	33349
139	5422	33306
140	5461	33269
141	5499	33229
142	5539	33195
143	5576	33148
144	5624	33162
145	5669	33160
146	5709	33133
147	5747	33089
148	5787	33052
